gameId|teamId|pickTurn|championId
4154995239|100|1|99
4154995239|100|2|157
4154995239|100|3|-1
4154995239|100|4|103
4154995239|100|5|10
4154995239|200|6|420
4154995239|200|7|517
4154995239|200|8|350
4154995239|200|9|80
4154995239|200|10|238
4155025412|100|1|111
4155025412|100|2|122
4155025412|100|3|75
4155025412|100|4|55
4155025412|100|5|266
4155025412|200|6|27
4155025412|200|7|107
4155025412|200|8|55
4155025412|200|9|421
4155025412|200|10|51
4155147944|100|1|119
4155147944|100|2|17
4155147944|100|3|25
4155147944|100|4|555
4155147944|100|5|163
4155147944|200|6|555
4155147944|200|7|107
4155147944|200|8|157
4155147944|200|9|412
4155147944|200|10|122
4155158185|100|1|45
4155158185|100|2|157
4155158185|100|3|420
4155158185|100|4|412
4155158185|100|5|67
4155158185|200|6|53
4155158185|200|7|122
4155158185|200|8|157
4155158185|200|9|518
4155158185|200|10|254
4155166615|100|1|238
4155166615|100|2|119
4155166615|100|3|163
4155166615|100|4|350
4155166615|100|5|17
4155166615|200|6|555
4155166615|200|7|77
4155166615|200|8|517
4155166615|200|9|119
4155166615|200|10|142
4155137184|100|1|11
4155137184|100|2|15
4155137184|100|3|17
4155137184|100|4|103
4155137184|100|5|25
4155137184|200|6|99
4155137184|200|7|63
4155137184|200|8|75
4155137184|200|9|157
4155137184|200|10|11
4155146712|100|1|157
4155146712|100|2|145
4155146712|100|3|350
4155146712|100|4|122
4155146712|100|5|11
4155146712|200|6|11
4155146712|200|7|99
4155146712|200|8|157
4155146712|200|9|17
4155146712|200|10|238
4155137132|100|1|64
4155137132|100|2|17
4155137132|100|3|222
4155137132|100|4|122
4155137132|100|5|11
4155137132|200|6|53
4155137132|200|7|51
4155137132|200|8|420
4155137132|200|9|55
4155137132|200|10|82
4155146468|100|1|53
4155146468|100|2|122
4155146468|100|3|107
4155146468|100|4|84
4155146468|100|5|25
4155146468|200|6|90
4155146468|200|7|67
4155146468|200|8|157
4155146468|200|9|19
4155146468|200|10|555
4155136997|100|1|412
4155136997|100|2|8
4155136997|100|3|254
4155136997|100|4|119
4155136997|100|5|157
4155136997|200|6|266
4155136997|200|7|24
4155136997|200|8|350
4155136997|200|9|99
4155136997|200|10|53
4155166007|100|1|350
4155166007|100|2|202
4155166007|100|3|122
4155166007|100|4|77
4155166007|100|5|238
4155166007|200|6|23
4155166007|200|7|21
4155166007|200|8|25
4155166007|200|9|119
4155166007|200|10|157
4155155796|100|1|202
4155155796|100|2|45
4155155796|100|3|75
4155155796|100|4|11
4155155796|100|5|15
4155155796|200|6|53
4155155796|200|7|122
4155155796|200|8|238
4155155796|200|9|143
4155155796|200|10|19
4155126347|100|1|157
4155126347|100|2|80
4155126347|100|3|51
4155126347|100|4|238
4155126347|100|5|350
4155126347|200|6|142
4155126347|200|7|119
4155126347|200|8|131
4155126347|200|9|238
4155126347|200|10|80
4155136291|100|1|25
4155136291|100|2|122
4155136291|100|3|-1
4155136291|100|4|350
4155136291|100|5|59
4155136291|200|6|141
4155136291|200|7|55
4155136291|200|8|18
4155136291|200|9|23
4155136291|200|10|43
4155155247|100|1|25
4155155247|100|2|24
4155155247|100|3|202
4155155247|100|4|11
4155155247|100|5|517
4155155247|200|6|21
4155155247|200|7|555
4155155247|200|8|82
4155155247|200|9|64
4155155247|200|10|238
4155145397|100|1|143
4155145397|100|2|238
4155145397|100|3|24
4155145397|100|4|51
4155145397|100|5|42
4155145397|200|6|105
4155145397|200|7|350
4155145397|200|8|7
4155145397|200|9|24
4155145397|200|10|141
4155125883|100|1|22
4155125883|100|2|35
4155125883|100|3|7
4155125883|100|4|17
4155125883|100|5|157
4155125883|200|6|80
4155125883|200|7|81
4155125883|200|8|157
4155125883|200|9|131
4155125883|200|10|59
4155145139|100|1|122
4155145139|100|2|17
4155145139|100|3|157
4155145139|100|4|240
4155145139|100|5|131
4155145139|200|6|28
4155145139|200|7|11
4155145139|200|8|21
4155145139|200|9|64
4155145139|200|10|122
4155125424|100|1|53
4155125424|100|2|45
4155125424|100|3|122
4155125424|100|4|11
4155125424|100|5|119
4155125424|200|6|131
4155125424|200|7|120
4155125424|200|8|82
4155125424|200|9|555
4155125424|200|10|238
4155154498|100|1|105
4155154498|100|2|17
4155154498|100|3|412
4155154498|100|4|238
4155154498|100|5|91
4155154498|200|6|84
4155154498|200|7|25
4155154498|200|8|420
4155154498|200|9|11
4155154498|200|10|119
4155134983|100|1|25
4155134983|100|2|420
4155134983|100|3|34
4155134983|100|4|81
4155134983|100|5|84
4155134983|200|6|11
4155134983|200|7|82
4155134983|200|8|54
4155134983|200|9|420
4155134983|200|10|64
4155125138|100|1|240
4155125138|100|2|11
4155125138|100|3|238
4155125138|100|4|24
4155125138|100|5|157
4155125138|200|6|8
4155125138|200|7|429
4155125138|200|8|105
4155125138|200|9|246
4155125138|200|10|11
4155144588|100|1|75
4155144588|100|2|56
4155144588|100|3|141
4155144588|100|4|45
4155144588|100|5|420
4155144588|200|6|23
4155144588|200|7|555
4155144588|200|8|11
4155144588|200|9|58
4155144588|200|10|157
4155125135|100|1|145
4155125135|100|2|11
4155125135|100|3|238
4155125135|100|4|122
4155125135|100|5|53
4155125135|200|6|17
4155125135|200|7|157
4155125135|200|8|51
4155125135|200|9|11
4155125135|200|10|89
4155124745|100|1|-1
4155124745|100|2|82
4155124745|100|3|80
4155124745|100|4|84
4155124745|100|5|122
4155124745|200|6|555
4155124745|200|7|53
4155124745|200|8|-1
4155124745|200|9|91
4155124745|200|10|19
4155154097|100|1|25
4155154097|100|2|202
4155154097|100|3|11
4155154097|100|4|23
4155154097|100|5|131
4155154097|200|6|24
4155154097|200|7|60
4155154097|200|8|238
4155154097|200|9|53
4155154097|200|10|119
4155164067|100|1|58
4155164067|100|2|518
4155164067|100|3|53
4155164067|100|4|555
4155164067|100|5|157
4155164067|200|6|24
4155164067|200|7|157
4155164067|200|8|555
4155164067|200|9|80
4155164067|200|10|51
4155144367|100|1|141
4155144367|100|2|412
4155144367|100|3|131
4155144367|100|4|82
4155144367|100|5|25
4155144367|200|6|238
4155144367|200|7|51
4155144367|200|8|11
4155144367|200|9|114
4155144367|200|10|555
4155124734|100|1|122
4155124734|100|2|86
4155124734|100|3|84
4155124734|100|4|555
4155124734|100|5|110
4155124734|200|6|32
4155124734|200|7|114
4155124734|200|8|82
4155124734|200|9|53
4155124734|200|10|238
4155124584|100|1|555
4155124584|100|2|17
4155124584|100|3|238
4155124584|100|4|222
4155124584|100|5|2
4155124584|200|6|75
4155124584|200|7|9
4155124584|200|8|119
4155124584|200|9|11
4155124584|200|10|420
4155144248|100|1|82
4155144248|100|2|67
4155144248|100|3|133
4155144248|100|4|238
4155144248|100|5|350
4155144248|200|6|202
4155144248|200|7|25
4155144248|200|8|122
4155144248|200|9|75
4155144248|200|10|119
4155124639|100|1|99
4155124639|100|2|238
