id,name
317,Caris LeVert
1643,Rashawn Thomas
525,Jonas Valanciunas
2065,Nick Weiler Babb
108,Ian Clark
1977,Tyler Harvey
528,Anderson Varejao
404,Kelly Olynyk
407,Kelly Oubre Jr.
526,Denzel Valentine
1069,Chris Chiozza
1322,Joe Chealey
310,Jake Layman
53,Patrick Beverley
146,Goran Dragic
571,Cody Zeller
1881,Ja Morant
970,Wenyen Gabriel
1269,Jordan Barnett
851,Royce O'Neale
411,Tony Parker
147,Andre Drummond
1888,Kevin Porter Jr.
1802,Xudong Luo
548,Andrew Wiggins
2168,Terence Davis
393,Joakim Noah
2000,Yovel Zoosman
116,Bryce Cotton
319,Damian Lillard
1038,Lonnie Walker IV
1123,Finn Delany
2098,Ben Lawson
152,Kris Dunn
2058,Jordan Howard
894,Derrick Walton Jr.
959,Marcus Derrickson
1661,Tyrius Walker
192,Rudy Gobert
385,Larry Nance Jr.
1063,Brandon Goodwin
2276,Marques Townes
1022,Landry Shamet
986,George King
2374,Sedrick Barefield
365,Patty Mills
1447,Frank Jackson
4,Steven Adams
1837,Yongpeng Zhang
594,Wayne Selden
771,Larry Drew II
1857,Carsen Edwards
1948,DaQuan Jeffries
111,Darren Collison
376,Donatas Motiejunas
378,Emmanuel Mudiay
200,Jerami Grant
248,Al Horford
1336,Chance Comanche
1622,Scoochie Smith
50,Dragan Bender
753,Thomas Bryant
2313,Devin Cannady
1001,Shake Milton
1592,Kendrick Ray
599,Damion Lee
1401,Javonte Green
482,Jonathon Simmons
560,Christian Wood
2260,Yudai Baba
1840,Zhun Zheng
1243,Jaylen Adams
619,Shawn Dawson
735,Lonzo Ball
17,Justin Anderson
1793,Roman Sorkin
631,Alex Caruso
250,Dwight Howard
553,Lou Williams
246,Richaun Holmes
972,Shai Gilgeous-Alexander
297,Brandon Knight
2412,Marko Guduric
93,DeMarre Carroll
1057,Malik Newman
91,Isaiah Canaan
612,Kyle Collinsworth
2089,Josh Sharma
988,Rodions Kurucs
1310,Deonte Burton
1308,Elijah Bryant
2450,Hanchen Luo
1851,Jarrell Brantley
1850,Jordan Bone
938,Jonah Bolden
995,Yante Maten
835,Alfonzo McKinnie
114,Mike Conley
998,De'Anthony Melton
316,Jon Leuer
222,Tobias Harris
1783,Josh Childress
9,Cliff Alexander
521,Evan Turner
924,Bryce Alford
